InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,TotalPrice
435674,SKU_1615,USB Cable,26,2020-01-10 12:00:00,43.43,43144.0,Norway,Stationery,1129.18
979989,SKU_1228,Wireless Mouse,22,2020-01-10 13:00:00,87.31,62769.0,Netherlands,Furniture,1920.8200000000002
161087,SKU_1827,Office Chair,6,2020-01-10 14:00:00,60.02,58309.0,United Kingdom,Apparel,360.12
218451,SKU_1318,Wall Clock,43,2020-01-10 16:00:00,88.21,36263.0,Germany,Furniture,3793.0299999999997
547600,SKU_1897,White Mug,15,2020-01-10 17:00:00,33.59,28493.0,Germany,Furniture,503.85
937437,SKU_1035,T-shirt,29,2020-01-10 18:00:00,39.91,43644.0,Germany,Stationery,1157.3899999999999
539792,SKU_1629,Wall Clock,31,2020-01-10 19:00:00,72.68,17586.0,Germany,Apparel,2253.0800000000004
139353,SKU_1254,Wireless Mouse,10,2020-01-10 20:00:00,13.14,97802.0,France,Electronics,131.4
293075,SKU_1312,Office Chair,14,2020-01-10 21:00:00,15.27,32750.0,Belgium,Accessories,213.78
314283,SKU_1961,Blue Pen,9,2020-01-10 22:00:00,82.35,54903.0,Belgium,Accessories,741.15
414877,SKU_1334,Desk Lamp,24,2020-01-10 23:00:00,2.27,57019.0,Italy,Electronics,54.480000000000004
165318,SKU_1019,Headphones,37,2020-01-11 00:00:00,4.72,65646.0,Germany,Stationery,174.64
865313,SKU_1297,T-shirt,28,2020-01-11 01:00:00,57.98,40868.0,Belgium,Furniture,1623.4399999999998
516880,SKU_1477,Wireless Mouse,29,2020-01-11 03:00:00,93.34,85820.0,France,Electronics,2706.86
840976,SKU_1759,T-shirt,15,2020-01-11 05:00:00,80.11,53285.0,France,Apparel,1201.65
881239,SKU_1471,Office Chair,40,2020-01-11 06:00:00,69.95,84794.0,Australia,Furniture,2798.0
193264,SKU_1961,USB Cable,36,2020-01-11 07:00:00,80.56,16744.0,United States,Accessories,2900.16
870746,SKU_1677,White Mug,32,2020-01-11 08:00:00,25.03,47216.0,Norway,Accessories,800.96
913168,SKU_1469,Desk Lamp,20,2020-01-11 09:00:00,33.33,16844.0,Portugal,Apparel,666.5999999999999
325281,SKU_1348,USB Cable,21,2020-01-11 10:00:00,77.91,45122.0,Sweden,Accessories,1636.11
737147,SKU_1766,Office Chair,36,2020-01-11 11:00:00,28.07,59068.0,Germany,Furniture,1010.52
998613,SKU_1589,Office Chair,28,2020-01-11 12:00:00,76.03,29977.0,Spain,Electronics,2128.84
494070,SKU_1964,Office Chair,38,2020-01-11 13:00:00,75.52,47079.0,United States,Furniture,2869.7599999999998
452228,SKU_1791,Blue Pen,6,2020-01-11 14:00:00,76.69,44289.0,Italy,Furniture,460.14
531839,SKU_1793,Headphones,5,2020-01-11 15:00:00,44.21,98008.0,Belgium,Apparel,221.05
369536,SKU_1385,Wall Clock,7,2020-01-11 16:00:00,20.07,76447.0,Norway,Furniture,140.49
417824,SKU_1941,Backpack,45,2020-01-11 17:00:00,10.47,76764.0,Belgium,Stationery,471.15000000000003
277789,SKU_1545,Blue Pen,24,2020-01-11 19:00:00,49.59,33675.0,Italy,Accessories,1190.16
613153,SKU_1445,White Mug,35,2020-01-11 20:00:00,26.84,48451.0,Portugal,Stationery,939.4
842452,SKU_1982,Office Chair,29,2020-01-11 21:00:00,86.01,52913.0,Spain,Apparel,2494.29
225657,SKU_1098,USB Cable,14,2020-01-11 23:00:00,74.32,88985.0,Netherlands,Apparel,1040.48
335167,SKU_1654,Desk Lamp,35,2020-01-12 00:00:00,30.31,19125.0,Germany,Furniture,1060.85
781669,SKU_1054,T-shirt,4,2020-01-12 01:00:00,47.54,11839.0,Spain,Accessories,190.16
580671,SKU_1002,Backpack,18,2020-01-12 02:00:00,63.78,17819.0,France,Apparel,1148.04
819094,SKU_1331,Notebook,48,2020-01-12 03:00:00,44.99,40592.0,Portugal,Furniture,2159.52
170467,SKU_1933,Backpack,22,2020-01-12 04:00:00,79.66,71700.0,United Kingdom,Furniture,1752.52
283734,SKU_1434,Notebook,40,2020-01-12 05:00:00,59.5,38593.0,United States,Stationery,2380.0
722794,SKU_1912,Wireless Mouse,30,2020-01-12 06:00:00,60.15,13471.0,Italy,Accessories,1804.5
209751,SKU_1485,T-shirt,42,2020-01-12 07:00:00,6.7,21894.0,Portugal,Apparel,281.40000000000003
481050,SKU_1218,Backpack,43,2020-01-12 08:00:00,79.64,24920.0,Germany,Furniture,3424.52
792517,SKU_1816,Desk Lamp,43,2020-01-12 10:00:00,20.85,97126.0,Netherlands,Apparel,896.5500000000001
561079,SKU_1495,Notebook,9,2020-01-12 11:00:00,12.69,75015.0,United Kingdom,Stationery,114.21
468452,SKU_1660,Desk Lamp,20,2020-01-12 12:00:00,83.7,38443.0,Italy,Apparel,1674.0
713333,SKU_1599,Backpack,1,2020-01-12 14:00:00,97.76,99931.0,Norway,Stationery,97.76
210078,SKU_1722,Desk Lamp,4,2020-01-12 16:00:00,85.16,90190.0,Portugal,Accessories,340.64
967055,SKU_1734,Wall Clock,28,2020-01-12 17:00:00,58.6,10577.0,Spain,Stationery,1640.8
518400,SKU_1147,Desk Lamp,14,2020-01-12 19:00:00,29.94,67413.0,Sweden,Furniture,419.16
455528,SKU_1206,Blue Pen,40,2020-01-12 20:00:00,28.45,38196.0,Sweden,Apparel,1138.0
710490,SKU_1359,Office Chair,38,2020-01-12 21:00:00,80.74,59477.0,Germany,Furniture,3068.12
151663,SKU_1418,Wireless Mouse,17,2020-01-12 22:00:00,25.52,63558.0,Australia,Accessories,433.84
115708,SKU_1943,USB Cable,39,2020-01-12 23:00:00,8.17,16586.0,United Kingdom,Accessories,318.63
978338,SKU_1738,White Mug,6,2020-01-13 00:00:00,44.62,73585.0,United States,Furniture,267.71999999999997
411955,SKU_1416,Notebook,26,2020-01-13 01:00:00,60.87,14482.0,United States,Apparel,1582.62
233883,SKU_1871,T-shirt,41,2020-01-13 02:00:00,70.95,54005.0,Italy,Accessories,2908.9500000000003
851102,SKU_1555,USB Cable,34,2020-01-13 06:00:00,45.44,91270.0,Belgium,Stationery,1544.96
862002,SKU_1209,Wall Clock,46,2020-01-13 07:00:00,10.52,74368.0,United Kingdom,Electronics,483.91999999999996
242483,SKU_1848,T-shirt,18,2020-01-13 08:00:00,74.28,32743.0,United Kingdom,Furniture,1337.04
314835,SKU_1249,Wireless Mouse,30,2020-01-13 10:00:00,53.55,30420.0,United Kingdom,Stationery,1606.5
